iter	Passed	Remaining
616	9466	17383
617	9480	17366
618	9495	17349
619	9510	17333
620	9524	17316
621	9538	17298
622	9553	17282
623	9566	17263
624	9581	17245
625	9595	17228
626	9612	17216
627	9627	17200
628	9642	17184
629	9657	17168
630	9671	17152
631	9686	17135
632	9701	17119
633	9716	17102
634	9730	17085
635	9744	17068
636	9759	17051
637	9774	17035
638	9791	17024
639	9810	17015
640	9826	17000
641	9842	16986
642	9857	16971
643	9871	16953
644	9886	16936
645	9905	16928
646	9927	16923
647	9954	16929
648	9988	16944
649	10004	16930
650	10022	16919
651	10039	16907
652	10053	16889
653	10068	16872
654	10082	16854
655	10097	16839
656	10111	16822
657	10126	16805
658	10142	16790
659	10157	16774
660	10173	16761
661	10189	16746
662	10204	16730
663	10219	16714
664	10234	16697
665	10248	16681
666	10263	16664
667	10278	16648
668	10293	16632
669	10308	16616
670	10322	16599
671	10337	16582
672	10355	16572
673	10370	16555
674	10386	16541
675	10404	16529
676	10418	16513
677	10433	16495
678	10447	16478
679	10461	16460
680	10477	16447
681	10493	16431
682	10509	16417
683	10525	16403
684	10543	16392
685	10561	16380
686	10574	16362
687	10589	16346
688	10604	16330
689	10619	16314
690	10634	16297
691	10648	16280
692	10663	16265
693	10678	16248
694	10692	16231
695	10710	16218
696	10724	16202
697	10739	16186
698	10756	16173
699	10771	16156
700	10786	16141
701	10801	16124
702	10814	16106
703	10829	16090
704	10844	16074
705	10860	16059
706	10873	16041
707	10890	16027
708	10904	16011
709	10918	15993
710	10933	15976
711	10946	15958
712	10961	15942
713	10974	15923
714	10987	15905
715	11001	15887
716	11015	15869
717	11028	15851
718	11044	15836
719	11061	15824
720	11076	15808
721	11092	15793
722	11106	15776
723	11123	15763
724	11138	15747
725	11153	15731
726	11168	15715
727	11183	15699
728	11198	15683
729	11212	15667
730	11227	15651
731	11245	15638
732	11263	15627
733	11277	15609
734	11290	15592
735	11305	15575
736	11321	15560
737	11335	15543
738	11348	15525
739	11361	15507
740	11375	15490
741	11390	15474
742	11406	15459
743	11423	15446
744	11441	15434
745	11457	15420
746	11475	15408
747	11494	15398
748	11508	15380
749	11523	15364
750	11538	15349
751	11554	15333
752	11569	15319
753	11586	15304
754	11601	15289
755	11618	15276
756	11634	15261
757	11649	15245
758	11664	15229
759	11679	15214
760	11694	15198
761	11709	15181
762	11723	15165
763	11738	15148
764	11752	15132
765	11767	15116
766	11784	15103
767	11800	15089
768	11815	15072
769	11830	15056
770	11845	15040
771	11860	15024
772	11884	15020
773	11899	15004
774	11913	14987
775	11927	14970
776	11940	14952
777	11955	14936
778	11970	14921
779	11986	14906
780	12000	14889
781	12015	14872
782	12029	14856
783	12043	14839
784	12059	14824
785	12072	14806
786	12086	14789
787	12100	14772
788	12113	14754
789	12126	14736
790	12141	14720
791	12159	14707
792	12174	14692
793	12189	14677
794	12204	14661
795	12219	14645
796	12235	14629
797	12249	14613
798	12265	14598
799	12279	14582
800	12294	14566
801	12308	14549
802	12324	14535
803	12340	14519
804	12356	14506
805	12371	14490
806	12386	14474
807	12401	14458
808	12416	14442
809	12431	14426
810	12445	14410
811	12460	14394
812	12475	14378
813	12490	14362
814	12506	14347
815	12521	14332
816	12540	14320
817	12554	14304
818	12568	14286
819	12581	14269
820	12596	14253
821	12610	14236
822	12623	14219
823	12637	14201
824	12650	14184
825	12665	14167
826	12680	14152
827	12696	14138
828	12714	14125
829	12730	14110
830	12745	14095
831	12765	14084
832	12782	14071
833	12797	14055
834	12810	14037
835	12828	14025
836	12844	14010
837	12860	13995
838	12876	13981
839	12895	13969
840	12910	13953
841	12924	13937
842	12939	13921
843	12954	13905
844	12969	13890
845	12984	13874
846	12999	13859
847	13015	13843
848	13030	13828
849	13045	13813
850	13063	13799
851	13077	13783
852	13092	13767
853	13107	13751
854	13121	13735
855	13136	13719
856	13151	13703
857	13166	13688
858	13181	13672
859	13195	13656
860	13219	13649
861	13238	13638
862	13255	13623
863	13269	13607
864	13283	13590
865	13297	13574
866	13312	13558
867	13326	13541
868	13342	13527
869	13357	13511
870	13374	13497
871	13390	13482
872	13406	13468
873	13425	13456
874	13442	13442
875	13457	13426
876	13472	13410
877	13487	13395
878	13502	13379
879	13517	13364
880	13533	13348
881	13547	13332
882	13561	13315
883	13576	13299
884	13591	13284
885	13606	13268
886	13626	13257
887	13640	13240
888	13653	13223
889	13667	13206
890	13680	13189
891	13693	13171
892	13708	13155
893	13721	13138
894	13735	13122
895	13749	13105
896	13764	13089
897	13778	13073
898	13796	13059
899	13810	13042
900	13823	13025
901	13838	13009
902	13851	12992
903	13865	12975
904	13880	12960
905	13894	12943
906	13907	12926
907	13920	12909
908	13934	12892
909	13948	12875
910	13966	12862
911	13981	12846
912	13994	12830
913	14009	12814
914	14024	12797
915	14038	12782
916	14053	12766
917	14067	12749
918	14082	12733
919	14097	12718
920	14112	12702
921	14128	12688
922	14144	12673
923	14158	12656
924	14172	12640
925	14186	12624
926	14201	12608
927	14215	12591
928	14233	12579
929	14247	12562
930	14262	12546
931	14276	12529
932	14292	12515
933	14311	12503
934	14327	12488
935	14343	12473
936	14358	12458
937	14373	12442
938	14388	12427
939	14403	12411
940	14419	12396
941	14434	12380
942	14448	12365
943	14462	12348
944	14478	12333
945	14496	12320
946	14513	12306
947	14529	12291
948	14543	12275
949	14558	12259
950	14573	12244
951	14588	12228
952	14603	12212
953	14618	12197
954	14633	12181
955	14647	12165
956	14661	12149
957	14677	12134
958	14694	12120
959	14708	12104
960	14723	12088
961	14738	12072
962	14752	12056
963	14767	12040
964	14782	12024
965	14798	12010
966	14812	11994
967	14827	11978
968	14842	11962
969	14857	11947
970	14873	11932
971	14888	11917
972	14902	11900
973	14916	11884
974	14930	11868
975	14945	11851
976	14958	11835
977	14974	11820
978	14989	11804
979	15004	11788
980	15018	11772
981	15033	11757
982	15056	11748
983	15071	11732
984	15089	11719
985	15105	11704
986	15120	11688
987	15135	11673
988	15149	11657
989	15164	11641
990	15180	11626
991	15202	11616
992	15217	11600
993	15231	11584
994	15245	11568
995	15259	11552
996	15274	11535
997	15289	11520
998	15303	11504
999	15318	11488
1000	15333	11473
1001	15349	11458
1002	15366	11444
1003	15383	11430
1004	15398	11415
1005	15412	11398
1006	15426	11382
1007	15439	11365
1008	15452	11348
1009	15467	11332
1010	15481	11316
1011	15494	11299
1012	15511	11285
1013	15527	11270
1014	15544	11256
1015	15563	11243
1016	15579	11228
1017	15594	11213
1018	15609	11198
1019	15624	11182
1020	15639	11166
1021	15655	11151
1022	15672	11138
1023	15689	11123
1024	15704	11108
1025	15720	11093
1026	15737	11078
1027	15753	11064
1028	15769	11049
1029	15783	11033
1030	15797	11016
1031	15812	11001
1032	15826	10984
1033	15840	10968
1034	15854	10952
1035	15868	10936
1036	15883	10921
1037	15899	10905
1038	15916	10891
1039	15933	10877
1040	15948	10861
1041	15962	10846
1042	15977	10830
1043	15991	10814
1044	16006	10798
1045	16020	10782
1046	16036	10767
1047	16051	10751
1048	16065	10736
1049	16082	10721
1050	16100	10708
1051	16115	10692
1052	16131	10677
1053	16146	10662
1054	16160	10646
1055	16175	10630
1056	16190	10614
1057	16205	10599
1058	16221	10584
1059	16235	10568
1060	16250	10552
1061	16264	10536
1062	16281	10522
1063	16297	10507
1064	16314	10493
1065	16334	10481
1066	16353	10468
1067	16368	10452
1068	16384	10437
1069	16400	10422
1070	16417	10408
1071	16433	10393
1072	16449	10378
1073	16464	10363
1074	16479	10347
1075	16494	10332
1076	16509	10316
1077	16524	10300
1078	16538	10284
1079	16553	10269
1080	16567	10253
1081	16582	10237
1082	16597	10222
1083	16614	10207
1084	16631	10193
1085	16645	10177
1086	16659	10161
1087	16672	10144
1088	16687	10128
1089	16700	10112
1090	16714	10095
1091	16727	10079
1092	16741	10063
1093	16755	10047
1094	16769	10031
1095	16786	10016
1096	16801	10001
1097	16819	9987
1098	16833	9971
1099	16849	9956
1100	16864	9940
1101	16878	9924
1102	16893	9909
1103	16908	9893
1104	16922	9877
1105	16937	9862
1106	16951	9846
1107	16966	9830
1108	16983	9816
1109	17000	9802
1110	17016	9787
1111	17031	9771
1112	17048	9757
1113	17066	9743
1114	17085	9730
1115	17105	9717
1116	17125	9704
1117	17142	9690
1118	17161	9677
1119	17177	9662
1120	17195	9648
1121	17211	9633
1122	17226	9618
1123	17241	9602
1124	17255	9586
1125	17270	9570
1126	17284	9554
1127	17298	9538
1128	17312	9522
1129	17327	9507
1130	17345	9493
1131	17360	9477
1132	17375	9462
1133	17389	9446
1134	17404	9430
1135	17419	9415
1136	17434	9399
1137	17448	9383
1138	17463	9368
1139	17477	9352
1140	17492	9336
1141	17507	9320
1142	17523	9305
1143	17538	9290
1144	17553	9274
1145	17566	9258
1146	17579	9241
1147	17593	9225
1148	17608	9210
1149	17622	9194
1150	17635	9178
1151	17650	9162
1152	17663	9146
1153	17677	9129
1154	17694	9115
1155	17713	9102
1156	17728	9086
1157	17743	9070
1158	17757	9055
1159	17772	9039
1160	17787	9023
1161	17802	9008
1162	17816	8992
1163	17831	8977
1164	17845	8960
1165	17859	8944
1166	17873	8929
1167	17890	8914
1168	17906	8899
1169	17920	8883
1170	17934	8867
1171	17948	8851
1172	17962	8835
1173	17976	8819
1174	17990	8803
1175	18005	8788
1176	18019	8772
1177	18033	8756
1178	18047	8740
1179	18065	8726
1180	18082	8712
1181	18096	8696
1182	18111	8680
1183	18126	8665
1184	18140	8649
1185	18155	8633
1186	18169	8617
1187	18183	8602
1188	18198	8586
1189	18212	8570
1190	18227	8555
1191	18241	8539
1192	18266	8528
1193	18288	8516
1194	18309	8503
1195	18330	8490
1196	18372	8488
1197	18389	8473
1198	18406	8458
1199	18425	8444
1200	18461	8439
1201	18479	8424
1202	18493	8408
1203	18507	8392
1204	18522	8377
1205	18537	8361
1206	18551	8345
1207	18564	8329
1208	18578	8313
1209	18592	8297
1210	18607	8281
1211	18624	8267
1212	18640	8252
1213	18656	8236
1214	18671	8221
1215	18686	8205
1216	18701	8190
1217	18715	8174
1218	18730	8158
1219	18744	8143
1220	18758	8127
1221	18772	8111
1222	18787	8095
1223	18802	8080
1224	18817	8064
1225	18854	8058
1226	18877	8046
1227	18925	8045
1228	18980	8046
1229	19021	8041
1230	19048	8031
1231	19073	8019
1232	19096	8007
1233	19116	7993
1234	19139	7981
1235	19159	7967
1236	19175	7952
1237	19194	7938
1238	19212	7923
1239	19228	7908
1240	19243	7892
1241	19259	7877
1242	19275	7862
1243	19291	7846
1244	19306	7831
1245	19325	7816
1246	19341	7801
1247	19356	7786
1248	19371	7770
1249	19386	7754
1250	19401	7738
1251	19414	7722
1252	19428	7706
1253	19442	7690
1254	19457	7674
1255	19472	7658
1256	19487	7642
1257	19503	7627
1258	19518	7611
